"Scenario","Technology","Hour","Charging power (MW)","Disharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",0.00000,0.00000,772.42803
"1","CAES","1",0.00000,0.00000,0.00000
"1","PHS","1",0.00000,0.00000,0.00000
"1","H2","1",0.00000,2865.07561,1306387.26136
"1","Li-Ion","2",0.00000,716.32029,0.00000
"1","CAES","2",0.00000,0.00000,0.00000
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",0.00000,440.48860,1305723.19981
"1","Li-Ion","3",0.00000,0.00000,0.00000
"1","CAES","3",406.74283,0.00000,323.38826
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",0.00000,0.00000,1305723.19981
"1","Li-Ion","4",0.00000,0.00000,0.00000
"1","CAES","4",959.47217,0.00000,1086.23400
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,0.00000,1305723.19981
"1","Li-Ion","5",0.00000,0.00000,0.00000
"1","CAES","5",861.16528,0.00000,1770.91908
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,0.00000,1305723.19981
"1","Li-Ion","6",0.00000,0.00000,0.00000
"1","CAES","6",1692.28148,0.00000,3116.39815
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,0.00000,1305723.19981
"1","Li-Ion","7",0.00000,0.00000,0.00000
"1","CAES","7",3346.51636,0.00000,5777.10666
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",1874.10081,0.00000,1306966.33765
"1","Li-Ion","8",0.00000,0.00000,0.00000
"1","CAES","8",3346.51636,0.00000,8437.81517
"1","PHS","8",3693.58740,0.00000,3266.26755
"1","H2","8",3701.26471,0.00000,1309421.47891
"1","Li-Ion","9",0.00000,0.00000,0.00000
"1","CAES","9",3346.51636,0.00000,11098.52368
"1","PHS","9",3693.58740,0.00000,6532.53510
"1","H2","9",3701.26471,0.00000,1311876.62017
"1","Li-Ion","10",0.00000,0.00000,0.00000
"1","CAES","10",3346.51636,0.00000,13759.23219
"1","PHS","10",3693.58740,0.00000,9798.80266
"1","H2","10",3701.26471,0.00000,1314331.76142
"1","Li-Ion","11",3035.56706,0.00000,2815.06908
"1","CAES","11",3346.51636,0.00000,16419.94070
"1","PHS","11",3693.58740,0.00000,13065.07021
"1","H2","11",3701.26471,0.00000,1316786.90268
"1","Li-Ion","12",0.00000,0.00000,2815.06908
"1","CAES","12",3346.51636,0.00000,19080.64921
"1","PHS","12",3693.58740,0.00000,16331.33776
"1","H2","12",3701.26471,0.00000,1319242.04394
"1","Li-Ion","13",0.00000,0.00000,2815.06908
"1","CAES","13",3346.51636,0.00000,21741.35771
"1","PHS","13",3693.58740,0.00000,19597.60531
"1","H2","13",3701.26471,0.00000,1321697.18520
"1","Li-Ion","14",3226.36238,0.00000,5807.07447
"1","CAES","14",3346.51636,0.00000,24402.06622
"1","PHS","14",3693.58740,0.00000,22863.87287
"1","H2","14",3701.26471,0.00000,1324152.32645
"1","Li-Ion","15",3226.36238,0.00000,8799.07986
"1","CAES","15",3346.51636,0.00000,27062.77473
"1","PHS","15",3693.58740,0.00000,26130.14042
"1","H2","15",3701.26471,0.00000,1326607.46771
"1","Li-Ion","16",0.00000,0.00000,8799.07986
"1","CAES","16",3346.51636,0.00000,29723.48324
"1","PHS","16",940.29373,0.00000,26961.64934
"1","H2","16",3452.84531,0.00000,1328897.82618
"1","Li-Ion","17",0.00000,1193.28921,7512.32301
"1","CAES","17",3346.51636,0.00000,32384.19175
"1","PHS","17",12.44826,0.00000,26972.65743
"1","H2","17",0.00000,0.00000,1328897.82618
"1","Li-Ion","18",0.00000,3226.36238,4033.24698
"1","CAES","18",3346.51636,0.00000,35044.90026
"1","PHS","18",0.00000,403.17807,26516.73231
"1","H2","18",0.00000,0.00000,1328897.82618
"1","Li-Ion","19",0.00000,3134.21464,653.53641
"1","CAES","19",3346.51636,0.00000,37705.60877
"1","PHS","19",0.00000,0.00000,26516.73231
"1","H2","19",0.00000,0.00000,1328897.82618
"1","Li-Ion","20",0.00000,606.06473,0.00000
"1","CAES","20",3346.51636,0.00000,40366.31728
"1","PHS","20",0.00000,0.00000,26516.73231
"1","H2","20",0.00000,0.00000,1328897.82618
"1","Li-Ion","21",0.00000,0.00000,0.00000
"1","CAES","21",3346.51636,0.00000,43027.02579
"1","PHS","21",0.00000,0.00000,26516.73231
"1","H2","21",172.79703,0.00000,1329012.44676
"1","Li-Ion","22",0.00000,0.00000,0.00000
"1","CAES","22",3346.51636,0.00000,45687.73430
"1","PHS","22",0.00000,0.00000,26516.73231
"1","H2","22",765.79909,0.00000,1329520.42041
"1","Li-Ion","23",0.00000,0.00000,0.00000
"1","CAES","23",3346.51636,0.00000,48348.44281
"1","PHS","23",0.00000,0.00000,26516.73231
"1","H2","23",1850.75930,0.00000,1330748.07525
"1","Li-Ion","24",0.00000,0.00000,0.00000
"1","CAES","24",3346.51636,0.00000,51009.15132
"1","PHS","24",0.00000,0.00000,26516.73231
"1","H2","24",3555.27619,0.00000,1333106.37868
"1","Li-Ion","25",0.00000,0.00000,0.00000
"1","CAES","25",3346.51636,0.00000,53669.85983
"1","PHS","25",391.01741,0.00000,26862.51199
"1","H2","25",3701.26471,0.00000,1335561.51994
"1","Li-Ion","26",0.00000,0.00000,0.00000
"1","CAES","26",3346.51636,0.00000,56330.56834
"1","PHS","26",388.41008,0.00000,27205.98600
"1","H2","26",3701.26471,0.00000,1338016.66119
"1","Li-Ion","27",0.00000,0.00000,0.00000
"1","CAES","27",3346.51636,0.00000,58991.27685
"1","PHS","27",413.04683,0.00000,27571.24647
"1","H2","27",3701.26471,0.00000,1340471.80245
"1","Li-Ion","28",0.00000,0.00000,0.00000
"1","CAES","28",3346.51636,0.00000,61651.98536
"1","PHS","28",359.32128,0.00000,27888.99702
"1","H2","28",3701.26471,0.00000,1342926.94371
"1","Li-Ion","29",0.00000,0.00000,0.00000
"1","CAES","29",3346.51636,0.00000,64312.69387
