,Li-Ion,CAES,PHS,H2
P_Capex,97.78,842.63,1063.32,1414.84
E_Capex,115.67,34.66,53.12,1.09
Eff,0.86,0.632133333,0.782,0.44
Min_Duration,1,1,1,1
Max_Duration,12,24,24,6480
Max_P,100000,100000,100000,100000
FOM,10.3,4.120718067,8.241436134,47.38825777
VOM,3.09,4.120718067,1.030179517,0
Lifetime,13,30,55,18
CostRatio,0.5,0.325,0.5,0.49
