*Hour,Nuclear
1,2272.823279
2,2273.720723
3,2274.351674
4,2274.184531
5,2273.921185
6,2274.664204
7,2274.967712
8,2274.360054
9,2273.976455
10,2273.796511
11,2273.824408
12,2273.310403
13,2273.227802
14,2272.732772
15,2273.156282
16,2272.64222
17,2272.266539
18,2272.954655
19,2273.316002
20,2272.441092
21,2272.438807
22,2272.756226
23,2273.493634
24,2274.43377
25,2272.107479
26,2271.68539
27,2272.179954
28,2271.740001
29,2271.910459
30,2271.798113
31,2271.836888
32,2271.826651
33,2272.132169
34,2273.331412
35,2272.583164
36,2271.647589
37,2271.138444
38,2271.954697
39,2272.154523
40,2271.199057
41,2270.778838
42,2272.026116
43,2271.381475
44,2270.77099
45,2271.314885
46,2271.403688
47,2271.840253
48,2273.263221
49,2271.764295
50,2268.912988
51,2269.422408
52,2269.378867
53,2270.14767
54,2270.545536
55,2270.051466
56,2269.871763
57,2270.830307
58,2270.583414
59,2270.465872
60,2270.0664
61,2269.708502
62,2269.345489
63,2269.059415
64,2269.29379
65,2269.415592
66,2269.131774
67,2268.606616
68,2268.079469
69,2269.075949
70,2269.402427
71,2269.209902
72,2269.012676
73,2268.308235
74,2268.59916
75,2269.153934
76,2268.988979
77,2270.169283
78,2271.40396
79,2272.774791
80,2272.737074
81,2272.978561
82,2273.136996
83,2273.366915
84,2273.057073
85,2272.957684
86,2272.394218
87,2272.562119
88,2271.773848
89,2271.306684
90,2270.753422
91,2270.706736
92,2270.81793
93,2271.052161
94,2270.852368
95,2271.643135
96,2271.490075
97,2270.831478
98,2270.842916
99,2271.220994
100,2271.159318
101,2270.415059
102,2271.458433
103,2272.571843
104,2271.814162
105,2271.309913
106,2272.116719
107,2272.169255
108,2271.299232
109,2270.341908
110,2270.922042
111,2270.464347
112,2269.788854
113,2269.057924
114,2270.979959
115,2271.531469
116,2271.497136
117,2271.974942
118,2272.392215
119,2272.706267
120,2272.292424
121,2271.139128
122,2271.108066
123,2271.527937
124,2270.619343
125,2269.997286
126,2271.00909
127,2271.390781
128,2270.789091
129,2270.338727
130,2270.185821
131,2269.580486
132,2268.179705
133,2267.52881
134,2267.650024
135,2266.916866
136,2265.266949
137,2264.179927
138,2264.851437
139,2265.679279
140,2265.8124
141,2266.540147
142,2267.160545
143,2267.632049
144,2267.661424
145,2266.999141
