*Hour,Load
1,26927.58882
2,26008.34278
3,25292.68962
4,24895.77208
5,24933.29478
6,25498.72619
7,26424.41398
8,26406.52086
9,25662.53818
10,24908.90061
11,24171.48415
12,23437.52673
13,22913.71937
14,22997.63678
15,23768.90026
16,25222.06987
17,28130.68162
18,32187.70544
19,33027.09883
20,32806.09898
21,32310.54169
22,31141.27485
23,29242.88629
24,27352.14086
25,26129.91543
26,25269.92889
27,24864.7017
28,25001.85597
29,25940.21416
30,27903.42197
31,30510.75992
32,31779.36275
33,31401.68707
34,30125.19952
35,28967.06639
36,27985.83533
37,27370.49493
38,27372.5645
39,27825.04741
40,29060.5707
41,31501.3884
42,35038.41712
43,35739.13728
44,35549.2225
45,35029.51549
46,33638.26372
47,31444.47312
48,29325.69444
49,27737.61048
50,26695.63127
51,26239.7112
52,26237.81445
53,27084.05652
54,28997.43027
55,31746.4587
56,33129.91786
57,32565.26453
58,31155.40884
59,29938.50386
60,28861.69121
61,28353.654
62,28523.1406
63,29032.90563
64,29839.36962
65,31881.70507
66,35010.20328
67,35609.03581
68,35340.40788
69,34657.15478
70,33201.7409
71,31034.30919
72,28885.02749
73,27532.64845
74,26547.97929
75,26068.89966
76,26045.23139
77,26869.88346
78,28774.30012
79,31540.65993
80,32789.7304
81,32361.78106
82,31269.91618
83,30006.5174
84,28924.22155
85,28292.11714
86,28212.56254
87,28502.61158
88,29465.92801
89,31481.52986
90,34396.27442
91,34782.35533
92,34240.43715
93,33461.31988
94,32195.9887
95,30336.66294
96,28382.27944
97,26958.11605
98,25805.3741
99,25641.28077
100,25305.08863
101,25444.94483
102,26215.47783
103,27550.54181
104,28578.05858
105,29859.97578
106,30830.78936
107,30748.36484
108,30741.38765
109,30526.75819
110,30412.33031
111,30642.0551
112,30898.2621
113,31796.79202
114,33708.23093
115,33722.76065
116,33116.28335
117,32224.34245
118,31059.29649
119,29292.24641
120,27585.52573
121,26461.85715
122,25427.73943
123,24756.72385
124,24417.68623
