"Scenario","Technology","Hour","Charging power (MW)","Disharging power (MW)","State of charge (MWh)"
"1","Li-Ion","1",0.00000,385.45677,0.00000
"1","CAES","1",0.00000,0.00000,9468.27504
"1","PHS","1",0.00000,2479.61884,0.00000
"1","H2","1",0.00000,0.00000,1296118.38278
"1","Li-Ion","2",0.00000,0.00000,0.00000
"1","CAES","2",0.00000,0.00000,9468.27504
"1","PHS","2",0.00000,0.00000,0.00000
"1","H2","2",0.00000,1156.80888,1294374.42778
"1","Li-Ion","3",0.00000,0.00000,0.00000
"1","CAES","3",406.74283,0.00000,9791.66329
"1","PHS","3",0.00000,0.00000,0.00000
"1","H2","3",0.00000,0.00000,1294374.42778
"1","Li-Ion","4",0.00000,0.00000,0.00000
"1","CAES","4",959.47217,0.00000,10554.50904
"1","PHS","4",0.00000,0.00000,0.00000
"1","H2","4",0.00000,0.00000,1294374.42778
"1","Li-Ion","5",0.00000,0.00000,0.00000
"1","CAES","5",861.16528,0.00000,11239.19411
"1","PHS","5",0.00000,0.00000,0.00000
"1","H2","5",0.00000,0.00000,1294374.42778
"1","Li-Ion","6",0.00000,0.00000,0.00000
"1","CAES","6",1692.28148,0.00000,12584.67318
"1","PHS","6",0.00000,0.00000,0.00000
"1","H2","6",0.00000,0.00000,1294374.42778
"1","Li-Ion","7",0.00000,0.00000,0.00000
"1","CAES","7",3346.51636,0.00000,15245.38169
"1","PHS","7",0.00000,0.00000,0.00000
"1","H2","7",1874.10081,0.00000,1295617.56561
"1","Li-Ion","8",0.00000,0.00000,0.00000
"1","CAES","8",3346.51636,0.00000,17906.09020
"1","PHS","8",3693.58740,0.00000,3266.26755
"1","H2","8",3701.26471,0.00000,1298072.70687
"1","Li-Ion","9",0.00000,0.00000,0.00000
"1","CAES","9",3346.51636,0.00000,20566.79871
"1","PHS","9",3693.58740,0.00000,6532.53510
"1","H2","9",3701.26471,0.00000,1300527.84813
"1","Li-Ion","10",0.00000,0.00000,0.00000
"1","CAES","10",3346.51636,0.00000,23227.50722
"1","PHS","10",3693.58740,0.00000,9798.80266
"1","H2","10",3701.26471,0.00000,1302982.98939
"1","Li-Ion","11",3035.56706,0.00000,2815.06908
"1","CAES","11",3346.51636,0.00000,25888.21573
"1","PHS","11",3693.58740,0.00000,13065.07021
"1","H2","11",3701.26471,0.00000,1305438.13064
"1","Li-Ion","12",0.00000,0.00000,2815.06908
"1","CAES","12",3346.51636,0.00000,28548.92424
"1","PHS","12",3693.58740,0.00000,16331.33776
"1","H2","12",3701.26471,0.00000,1307893.27190
"1","Li-Ion","13",0.00000,0.00000,2815.06908
"1","CAES","13",3346.51636,0.00000,31209.63275
"1","PHS","13",3693.58740,0.00000,19597.60531
"1","H2","13",3701.26471,0.00000,1310348.41316
"1","Li-Ion","14",3226.36238,0.00000,5807.07447
"1","CAES","14",3346.51636,0.00000,33870.34126
"1","PHS","14",3693.58740,0.00000,22863.87287
"1","H2","14",3701.26471,0.00000,1312803.55441
"1","Li-Ion","15",3226.36238,0.00000,8799.07986
"1","CAES","15",3346.51636,0.00000,36531.04977
"1","PHS","15",3693.58740,0.00000,26130.14042
"1","H2","15",3701.26471,0.00000,1315258.69567
"1","Li-Ion","16",0.00000,0.00000,8799.07986
"1","CAES","16",3346.51636,0.00000,39191.75828
"1","PHS","16",691.87433,0.00000,26741.97018
"1","H2","16",3701.26471,0.00000,1317713.83693
"1","Li-Ion","17",0.00000,1193.28921,7512.32301
"1","CAES","17",3346.51636,0.00000,41852.46679
"1","PHS","17",12.44826,0.00000,26752.97826
"1","H2","17",0.00000,0.00000,1317713.83693
"1","Li-Ion","18",0.00000,3226.36238,4033.24698
"1","CAES","18",3346.51636,0.00000,44513.17530
"1","PHS","18",0.00000,403.17807,26297.05314
"1","H2","18",0.00000,0.00000,1317713.83693
"1","Li-Ion","19",0.00000,3134.21464,653.53641
"1","CAES","19",3346.51636,0.00000,47173.88381
"1","PHS","19",0.00000,0.00000,26297.05314
"1","H2","19",0.00000,0.00000,1317713.83693
"1","Li-Ion","20",0.00000,606.06473,0.00000
"1","CAES","20",3346.51636,0.00000,49834.59232
"1","PHS","20",0.00000,0.00000,26297.05314
"1","H2","20",0.00000,0.00000,1317713.83693
"1","Li-Ion","21",0.00000,0.00000,0.00000
"1","CAES","21",3346.51636,0.00000,52495.30083
"1","PHS","21",27.86871,0.00000,26321.69766
"1","H2","21",144.92831,0.00000,1317809.97150
"1","Li-Ion","22",0.00000,0.00000,0.00000
"1","CAES","22",3346.51636,0.00000,55156.00934
"1","PHS","22",0.00000,0.00000,26321.69766
"1","H2","22",765.79909,0.00000,1318317.94514
"1","Li-Ion","23",0.00000,0.00000,0.00000
"1","CAES","23",3346.51636,0.00000,57816.71785
"1","PHS","23",0.00000,0.00000,26321.69766
"1","H2","23",1850.75930,0.00000,1319545.59998
"1","Li-Ion","24",0.00000,0.00000,0.00000
"1","CAES","24",3346.51636,0.00000,60477.42636
"1","PHS","24",0.00000,0.00000,26321.69766
"1","H2","24",3555.27619,0.00000,1321903.90341
"1","Li-Ion","25",0.00000,0.00000,0.00000
"1","CAES","25",3346.51636,0.00000,63138.13487
"1","PHS","25",391.01741,0.00000,26667.47734
"1","H2","25",3701.26471,0.00000,1324359.04467
"1","Li-Ion","26",0.00000,0.00000,0.00000
"1","CAES","26",3346.51636,0.00000,65798.84338
"1","PHS","26",388.41008,0.00000,27010.95135
"1","H2","26",3701.26471,0.00000,1326814.18593
"1","Li-Ion","27",0.00000,0.00000,0.00000
"1","CAES","27",3346.51636,0.00000,68459.55189
"1","PHS","27",413.04683,0.00000,27376.21181
"1","H2","27",3701.26471,0.00000,1329269.32718
"1","Li-Ion","28",0.00000,0.00000,0.00000
"1","CAES","28",3346.51636,0.00000,71120.26040
"1","PHS","28",359.32128,0.00000,27693.96237
"1","H2","28",3701.26471,0.00000,1331724.46844
"1","Li-Ion","29",0.00000,0.00000,0.00000
"1","CAES","29",3346.51636,0.00000,73780.96891
"1","PHS","29",0.00000,0.00000,27693.96237
"1","H2","29",3324.59560,0.00000,1333929.75568
"1","Li-Ion","30",0.00000,0.00000,0.00000
"1","CAES","30",3346.51636,0.00000,76441.67742
"1","PHS","30",2355.50662,0.00000,29776.95487
"1","H2","30",0.00000,0.00000,1333929.75568
