sc_gid,mean_cf,mean_lcoe,mean_res,capacity,latitude,longitude,lcot,total_lcoe,lcoe,trans_cap_cost,CAPEX_M,FOM_M,CAPEX_A,FOM_A,CAPEX_C,FOM_C
132876,0.252,19.52289,5.958,430.6826457,35.085999,-118.276001,0.121722,5.333362,5.21164,5323.339475,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132875,0.252,19.52289,5.958,33.12943428,35.074001,-118.339996,0.123584,5.335224,5.21164,5404.748305,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141559,0.249,19.721787,6.006,5168.191748,34.555,-116.952003,0.130205,5.404636,5.274431,5626.550784,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134655,0.247844,19.820093,5.927609,3809.884943,34.896,-118.487999,0.149024,5.448066,5.299043,6409.822226,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135800,0.245,20.027081,5.874,2882.260783,34.742001,-118.778999,0.171687,5.53223,5.360543,7299.914432,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141016,0.252,19.462202,6.049999,4406.21476,34.678001,-116.514,0.339239,5.550878,5.21164,14836.09913,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
140433,0.245111,20.045826,5.943334,298.1649086,34.575001,-117.431999,0.207774,5.565889,5.358115,8838.301424,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134052,0.24,20.447325,5.77,66.25886857,34.874001,-118.889999,0.118751,5.590973,5.472222,4946.089044,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
131153,0.252523,19.462526,6.010136,6526.498554,35.342999,-117.671997,0.409945,5.610796,5.200851,17965.51187,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135235,0.24494,20.03525,5.872381,3312.943428,34.790001,-118.793999,0.286456,5.648313,5.361857,12176.76314,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
129443,0.248428,19.810474,5.96294,17492.3413,35.441002,-117.977997,0.366199,5.652774,5.286575,15788.14999,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
142109,0.24863,19.759907,5.980718,6095.815908,34.495998,-117.001999,0.386443,5.668714,5.282271,16674.52087,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135239,0.247176,19.86944,5.962922,14875.11599,35.007,-117.566002,0.360396,5.67375,5.313354,15459.64244,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141561,0.249,19.721785,6.006001,1921.507188,34.566002,-116.887001,0.40986,5.684292,5.274432,17711.23458,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
139860,0.246471,19.936535,5.92107,21997.94436,34.667,-117.189003,0.363149,5.691691,5.328542,15533.34052,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134053,0.247649,19.842714,5.915851,4439.344194,34.944,-118.502998,0.390325,5.693523,5.303198,16775.54889,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134054,0.25,19.619989,5.978001,7056.569502,34.990002,-118.245003,0.445532,5.698865,5.253333,19330.02287,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
105646,0.243,20.185347,5.625,265.0354743,37.542,-118.676002,0.306534,5.711198,5.404664,12927.01552,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132877,0.252021,19.491989,6.003234,6460.239685,35.097,-118.210999,0.512002,5.723217,5.211215,22393.46689,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141566,0.251,19.547094,6.026999,2981.649086,34.598,-116.693001,0.493161,5.725566,5.232405,21482.06989,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
106203,0.2402,20.445923,5.6396,331.2943428,37.506001,-118.593002,0.258347,5.726013,5.467666,10769.37997,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132878,0.251,19.597189,5.992,596.3298171,35.097,-118.210999,0.514084,5.746488,5.232404,22393.46689,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
142114,0.249,19.736355,5.965,1656.471714,34.549999,-116.679001,0.479635,5.754066,5.274431,20726.38493,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
142112,0.251,19.568905,6.015,33.12943428,34.540001,-116.744003,0.522817,5.755221,5.232404,22773.86269,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141565,0.249741,19.693876,5.97403,28557.57235,34.598,-116.693001,0.503259,5.762034,5.258775,21812.02512,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
127272,0.245,20.086988,5.926,1225.789068,35.678001,-117.778999,0.404766,5.765311,5.360544,17210.13274,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
130582,0.252552,19.452217,6.021385,4141.179285,35.402,-117.622002,0.568384,5.768631,5.200247,24911.87754,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141015,0.253229,19.375811,6.051876,27033.61838,34.667999,-116.579002,0.585909,5.772252,5.186343,25748.82597,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
138109,0.248493,19.798868,5.972426,34222.70561,34.766998,-117.491997,0.488084,5.773281,5.285198,21048.52327,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
131149,0.2444,20.108297,5.923598,3147.296257,35.286999,-117.997002,0.401871,5.775574,5.373703,17045.17926,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
136365,0.248892,19.744476,5.97428,16001.51676,34.910999,-117.537003,0.499738,5.776451,5.276713,21585.78603,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135254,0.249,19.720533,6.003,1060.141897,35.138,-116.787003,0.503273,5.777704,5.274431,21747.85821,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135804,0.246081,19.947996,5.942494,14709.46882,34.959,-117.552002,0.44793,5.784923,5.336994,19129.4115,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141560,0.247,19.902697,5.95,13417.42088,34.555,-116.952003,0.470499,5.787638,5.317139,20168.30126,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132879,0.252,19.493572,6.003,99.38830285,35.109001,-118.146004,0.584643,5.796283,5.21164,25568.50028,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141007,0.249,19.721787,6.006,1258.918503,34.603001,-116.966003,0.521859,5.796291,5.274432,22550.99382,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
122399,0.244,20.173223,5.872001,8779.300085,36.109001,-117.917,0.415802,5.798316,5.382514,17607.20054,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134661,0.25,19.646387,6.002,2186.542663,35.055,-117.582001,0.546198,5.799531,5.253333,23697.57556,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
131125,0.229307,21.466743,5.479139,3346.072863,34.833,-120.452003,0.077069,5.804472,5.727403,3066.966404,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
132308,0.248,19.828403,5.951,10236.99519,35.167999,-118.097,0.518403,5.814103,5.295699,22311.72255,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
139855,0.244125,20.106754,5.877625,1060.141897,34.499001,-118.154999,0.448722,5.828479,5.379757,19010.92476,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135808,0.243429,20.181753,5.918913,22859.30966,35.002998,-117.292,0.449623,5.844763,5.395139,18994.79399,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
140436,0.246789,19.913071,5.957088,28789.47839,34.608002,-117.238998,0.523914,5.845591,5.321676,22438.84509,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
136936,0.246,19.948711,5.944,430.6826457,34.750999,-118.167999,0.507479,5.846232,5.338753,21665.42172,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141568,0.252815,19.411734,6.050918,25045.85232,34.619999,-116.564003,0.652753,5.847596,5.194843,28639.4956,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
141004,0.245,20.071756,5.940465,3776.755508,34.537998,-117.352997,0.487196,5.84774,5.360545,20714.90607,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
131732,0.252,19.477362,5.998,132.5177371,35.294998,-117.656998,0.638645,5.850285,5.21164,27930.17072,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134651,0.24,20.447325,5.77,132.5177371,34.838001,-118.809998,0.378967,5.851189,5.472222,15784.32706,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
145282,0.225,21.863983,5.537,1093.271331,34.119999,-117.428001,0.016387,5.853424,5.837037,639.863399,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
150913,0.237555,20.686298,5.70489,9309.371034,33.580002,-117.331001,0.35546,5.884,5.528541,14654.40726,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
140432,0.24,20.446972,5.821571,5565.74496,34.439999,-118.204002,0.417446,5.889669,5.472222,17387.03588,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
126219,0.236,20.845209,5.692,2385.319268,35.66,-118.462997,0.3259,5.890871,5.564971,13347.81971,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
139278,0.245715,20.006716,5.910339,30015.26746,34.726002,-117.139,0.547616,5.892556,5.34494,23351.87187,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
138700,0.241779,20.314898,5.840882,3147.296257,34.806999,-116.959999,0.468609,5.900567,5.431959,19662.67225,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
103932,0.242,20.273491,5.676,1689.601148,37.719002,-118.524002,0.474437,5.901435,5.426998,19925.42236,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
140435,0.244,20.10442,5.927,132.5177371,34.597,-117.303001,0.520901,5.903415,5.382514,22057.62837,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
134656,0.25,19.619989,5.978,1822.118886,34.942001,-118.228996,0.654599,5.907932,5.253333,28400.6851,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
135814,0.250791,19.592726,5.990495,18685.00094,35.057999,-116.968002,0.676618,5.913388,5.23677,29448.89679,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
133457,0.222988,22.024124,5.535214,27530.55989,34.933998,-118.842003,0.028993,5.918697,5.889705,1121.972008,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
156040,0.237,20.70628,5.762001,430.6826457,33.185001,-116.68,0.383675,5.925165,5.541491,15780.65705,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
103930,0.244231,20.144192,5.641539,430.6826457,37.695999,-118.657997,0.552638,5.930067,5.377428,23423.6786,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
127271,0.244,20.114557,5.911,10601.41897,35.667,-117.844002,0.553285,5.935799,5.382514,23428.93413,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
161279,0.239,20.528408,5.810001,5764.521565,32.653,-116.527,0.445259,5.940377,5.495119,18468.16905,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
124580,0.226146,21.714579,5.441438,5234.450617,35.366001,-120.850998,0.136487,5.943956,5.80747,5356.632181,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
125696,0.238,20.656462,5.713,66.25886857,35.719002,-118.414001,0.4266,5.944807,5.518207,17620.22265,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
148845,0.235906,20.846155,5.731418,22594.27418,33.772999,-117.389,0.377677,5.944862,5.567186,15462.26316,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
105648,0.247958,19.784077,5.7553,3975.532114,37.564999,-118.542,0.651436,5.948024,5.296588,28032.63938,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
142659,0.246,19.93825,5.961999,430.6826457,34.470001,-116.858002,0.613965,5.952718,5.338753,26211.52546,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
161776,0.239252,20.523024,5.785009,7354.734411,32.594002,-116.575996,0.463407,5.952731,5.489324,19241.21415,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
139852,0.235,20.950331,5.695,4273.697023,34.465,-118.348,0.365254,5.953907,5.588653,14896.24492,708.548498,8.298077,533.194926,6.244445,861.625952,10.090824
