*Hour,OtherRenewables
1,1789.273657
2,1778.907508
3,1775.3033
4,1772.696067
5,1776.056231
6,1774.677634
7,1777.015143
8,1772.267228
9,1765.779116
10,1728.635017
11,1729.459299
12,1717.515581
13,1725.882477
14,1728.152252
15,1732.268853
16,1788.511096
17,1865.419485
18,1964.172568
19,1970.438353
20,1967.355141
21,1887.293452
22,1847.948599
23,1801.856767
24,1781.796355
25,1779.85401
26,1775.863743
27,1779.453851
28,1778.605856
29,1777.532634
30,1813.030123
31,1823.618621
32,1817.283012
33,1807.166653
34,1764.800675
35,1764.800518
36,1743.286362
37,1717.17108
38,1749.829935
39,1767.329661
40,1790.4726
41,1843.445357
42,1956.691242
43,1955.157301
44,1957.618781
45,1911.605313
46,1874.861842
47,1820.723507
48,1772.145669
49,1767.444711
50,1745.166773
51,1717.808742
52,1722.245405
53,1723.320006
54,1745.400543
55,1765.520911
56,1784.984319
57,1788.954082
58,1735.905129
59,1724.243609
60,1699.161549
61,1698.560059
62,1696.370594
63,1690.452713
64,1755.395102
65,1824.280774
66,1916.217739
67,1915.972771
68,1855.00721
69,1777.166526
70,1736.95608
71,1683.004536
72,1675.068809
73,1690.611676
74,1684.693094
75,1647.495563
76,1648.733945
77,1692.769536
78,1696.691128
79,1698.43353
80,1706.894743
81,1720.193465
82,1640.685404
83,1620.743018
84,1609.755702
85,1603.975715
86,1595.877371
87,1601.778435
88,1678.967812
89,1732.693036
90,1795.213312
91,1803.700803
92,1797.694806
93,1730.088199
94,1722.624457
95,1682.428766
96,1674.223962
97,1629.81767
98,1628.191118
99,1625.551485
100,1629.781595
101,1630.033683
102,1627.600903
103,1636.230666
104,1631.17289
105,1635
106,1598.117601
107,1616.167384
108,1642.058718
109,1639.967476
110,1636.121396
111,1638.956047
112,1682.52348
113,1776.175865
114,1874.756719
115,1882.130352
116,1836.85518
117,1793.48047
118,1738.371426
119,1698.109992
120,1699.804772
121,1740.934503
122,1745.838684
123,1742.514532
124,1740.562053
125,1733.072916
126,1733.416842
127,1735.517993
128,1733.179444
129,1711.618819
130,1671.725575
131,1667.908508
132,1675.933217
