*Hour,Large Hydro
1,2350.859949
2,2359.651647
3,2063.741773
4,1929.003648
5,1978.703105
6,2274.479825
7,2541.025938
8,2377.802117
9,1850.350102
10,1856.335841
11,1690.721796
12,1591.592865
13,1502.948347
14,1568.582186
15,1691.312519
16,2100.983222
17,2797.402886
18,3241.562587
19,3443.819073
20,3278.704581
21,2893.490163
22,2554.173949
23,2272.697833
24,2125.45029
25,1976.730494
26,1916.087343
27,1767.922967
28,1813.719401
29,1853.201682
30,2374.934297
31,3071.831271
32,3060.758832
33,2379.733998
34,1821.029565
35,1608.68114
36,1569.38605
37,1517.240299
38,1499.828307
39,1518.982643
40,1771.343997
41,2886.11495
42,3355.082424
43,3362.436151
44,3702.801863
45,3528.705606
46,3009.239348
47,2452.75731
48,2105.846287
49,1890.665301
50,1646.136011
51,1613.704785
52,1623.973276
53,1740.332442
54,2312.497492
55,2772.466699
56,2584.15671
57,2115.446104
58,1706.651332
59,1486.014473
60,1330.258146
61,1328.75095
62,1327.099333
63,1453.09843
64,2124.100025
65,2907.135943
66,3749.788553
67,3918.317475
68,3652.366465
69,3045.512649
70,2530.649849
71,2267.678804
72,2159.48083
73,2046.684521
74,1853.732639
75,1728.877075
76,1740.552545
77,1893.260154
78,2311.356441
79,2604.328127
80,2601.942316
81,2099.516013
82,1651.518903
83,1423.88537
84,1365.101313
85,1344.304157
86,1341.997683
87,1428.606602
88,2161.858379
89,2686.827679
90,3311.229767
91,3253.155823
92,3165.161108
93,2754.931591
94,2379.269793
95,2278.577236
96,2264.259494
97,2050.628398
98,1933.97947
99,1879.641369
100,1681.331757
101,1926.834675
102,1865.74847
103,1973.629237
104,1986.413595
105,1976.898893
106,2047.075408
107,1653.493978
108,1878.078669
109,1740.647503
110,1758.924278
111,1606.117925
112,2045.832903
113,2401.699744
114,2875.713839
115,2622.652264
116,2252.242075
117,2264.834868
118,2057.745811
119,1843.791909
120,1960.998357
121,1831.404405
122,1750.049683
123,1704.96928
124,1651.376556
125,1671.022559
126,1755.121515
127,1946.443417
128,1973.730171
129,1887.018081
130,1700.650036
131,1725.868575
132,1719.918757
133,1665.736317
134,1649.879416
135,1670.216385
136,1967.378932
137,2324.657923
138,3118.32158
139,2822.89668
140,2509.830328
141,2150.158733
142,1970.524529
143,1904.390472
144,1795.92468
145,1572.151956
146,1518.871723
147,1548.318719
148,1515.81725
149,1661.500372
150,1973.092885
151,2374.043762
152,2407.637775
153,2351.363174
154,1852.587238
155,1716.834462
156,1692.351545
157,1592.23724
158,1606.473045
159,1695.03182
160,1915.933406
161,2321.455595
162,3262.040623
163,3122.628253
164,2803.17898
165,2512.432405
166,2109.161212
167,1871.32092
168,1736.76574
169,1724.172949
170,1488.664353
171,1473.182205
172,1494.104283
173,1569.333967
174,1887.740443
175,2178.61818
176,2074.794141
177,1968.331296
178,1696.634009
179,1632.447622
180,1556.910124
181,1438.635061
182,1415.174176
183,1501.503533
184,1650.002256
185,2261.977063
186,2817.87514
187,2855.303667
188,2612.441611
189,2393.90765
190,2141.215516
191,1912.496193
192,1890.894677
193,1616.289189
194,1528.757223
195,1527.743475
196,1563.461721
197,1594.316676
198,1870.912182
199,2387.20397
200,2322.130379
201,1967.813211
202,1616.307781
203,1506.923018
204,1473.751537
205,1396.261358
206,1400.611893
207,1567.082264
208,1725.9304
209,2412.963657
210,3064.464085
211,2767.276795
212,2620.238497
213,2368.618609
214,1943.729493
215,1830.657516
216,1713.75466
217,1550.476812
218,1491.196691
219,1452.04872
220,1442.218145
221,1595.382849
222,1775.773849
223,2156.795738
224,2060.209045
225,1757.009993
226,1592.516353
227,1499.996588
228,1457.145706
229,1450.17677
230,1447.304668
231,1539.88877
232,1686.082849
233,2283.027615
234,3009.115103
235,2848.800916
236,2581.103785
237,2279.807567
238,1983.959809
239,1824.592427
240,1707.500492
241,1538.934845
242,1510.935776
243,1496.110288
244,1490.134848
245,1505.221283
246,1743.494889
247,1967.127036
248,1952.607082
249,1714.226329
250,1586.657946
251,1683.19914
252,1742.07288
253,1711.691732
254,1709.117625
255,1821.169454
256,1912.031683
257,2155.656679
258,2775.032754
259,2664.055461
260,2312.193822
261,2021.794836
262,1838.954826
263,1664.145184
264,1587.548016
265,1584.833018
266,1633.583481
267,1536.20669
268,1503.429738
269,1533.753472
270,1639.391958
271,1780.380176
272,1719.03028
273,1490.039627
274,1376.947311
275,1369.715098
276,1325.519542
277,1249.829051
278,1277.759197
279,1465.606129
280,1727.036848
281,2289.821257
282,2776.78483
283,2849.676081
284,2587.254928
285,2300.715898
286,1806.07912
287,1663.898071
288,1563.160109
289,1520.683929
290,1539.012391
291,1502.482266
292,1486.852484
293,1690.800058
294,1733.13175
295,1837.525506
296,1741.287741
297,1583.896763
298,1321.387154
299,1286.460242
300,1244.331154
301,1237.83856
302,1272.140017
303,1314.193229
304,1586.512639
305,2210.360759
306,2956.237742
307,2746.441676
308,2482.894669
309,2120.896414
310,1823.740401
311,1633.577772
312,1571.898227
313,1402.282874
314,1395.688081
